Class,HtmlExists,DomainCount,DotCount,AccountExists,PaypalExists,LoginExists,BankExists
1,0,1,1121,0,0,0,0
0,0,0,26,0,0,0,0
1,0,8,2174,0,0,0,0
1,0,10,3479,1,0,0,1
0,0,0,41,0,0,0,0
0,0,2,168,0,0,0,0
0,0,2,114,0,0,0,0
0,0,1,369,0,0,0,0
1,0,0,3395,1,0,0,1
0,0,0,166,0,0,0,0
0,0,3,187,0,0,0,0
0,0,1,71,0,0,0,0
1,0,6,2181,1,0,0,1
1,0,14,3087,1,0,0,1
0,0,2,511,0,0,0,0
1,0,9,3516,1,0,0,1
0,0,0,35,0,0,0,0
0,0,0,182,0,0,0,0
0,0,0,23,0,0,0,0
1,0,3,947,0,0,0,0
0,0,1,200,0,0,0,0
1,0,5,1664,1,0,0,1
0,0,4,1704,0,0,0,0
0,0,0,3,0,0,0,0
1,0,10,4098,0,0,0,0
0,0,0,728,0,0,0,0
0,0,1,169,0,0,0,0
0,0,1,158,0,0,0,0
0,0,0,13,0,0,0,0
0,0,0,2,0,0,0,0
1,0,6,2521,0,0,0,1
1,0,0,5975,0,0,0,0
1,0,3,312,0,0,0,0
0,0,1,515,0,0,0,0
0,0,0,102,0,0,0,0
0,0,1,307,0,0,0,0
0,0,0,3,0,0,0,0
1,0,3,3277,1,0,0,1
1,0,1,594,1,0,0,0
1,0,13,3000,1,0,0,1
1,0,0,3880,1,0,0,0
1,0,16,2688,1,0,0,1
1,0,3,401,0,0,0,0
0,0,2,2597,0,0,0,1
0,0,0,2,0,0,0,0
0,0,0,18,0,0,0,0
1,0,0,3475,0,0,0,0
1,0,0,293,0,0,0,0
0,0,0,30,0,0,0,0
0,0,0,23,0,0,0,0
1,1,5,1399,1,0,0,1
1,0,10,2911,0,0,0,0
1,0,6,456,0,0,0,0
0,0,1,192,0,0,0,0
0,0,0,3,0,0,0,0
1,1,7,2702,1,0,0,1
1,0,0,2669,1,0,0,1
1,0,1,53,0,0,0,0
0,0,0,3,0,0,0,0
1,0,6,3102,1,0,0,1
1,0,7,2916,1,0,0,1
0,0,0,3,0,0,0,0
0,0,0,120,0,0,0,0
0,0,1,90,0,0,0,0
1,0,2,1386,1,0,0,1
1,0,15,3193,1,0,0,1
1,0,7,1325,1,0,0,0
1,1,6,3905,1,0,0,1
0,0,11,999,0,0,0,0
1,0,2,3882,1,0,0,1
1,1,3,4015,1,0,0,1
0,0,0,56,0,0,0,0
1,0,4,1514,1,0,0,1
0,0,0,3,0,0,0,0
0,0,0,189,0,0,0,0
0,0,2,95,0,0,0,0
1,0,11,3888,1,0,0,1
0,0,0,107,0,0,0,0
1,0,19,3607,1,0,0,1
0,0,0,18,0,0,0,0
1,0,0,3050,0,0,0,0
0,0,0,12,0,0,0,0
1,1,2,3204,0,0,0,0
0,0,0,1,0,0,0,0
1,0,1,601,0,0,0,0
0,0,2,173,0,0,0,0
1,0,0,1500,0,0,0,0
0,0,0,134,0,0,0,0
0,0,0,25,0,0,0,0
0,0,0,81,0,0,0,0
0,0,0,413,0,0,0,0
0,0,0,76,0,0,0,0
1,0,1,321,0,0,0,0
0,0,0,24,0,0,0,0
0,0,0,38,0,0,0,0
1,0,20,3201,1,0,0,1
0,0,0,2,0,0,0,0
0,0,1,580,0,0,0,0
0,0,0,3,0,0,0,0
0,0,1,515,0,0,0,0
0,0,0,84,0,0,0,0
1,0,0,3471,0,0,0,0
1,0,3,3071,1,0,0,1
1,0,1,235,0,0,0,0
0,0,0,23,0,0,0,0
1,0,0,1886,1,0,0,0
0,0,1,124,0,0,0,0
0,0,0,82,0,0,0,0
1,0,0,1914,0,0,0,0
1,0,3,3229,1,0,0,1
0,0,0,54,0,0,0,0
0,0,0,74,0,0,0,0
0,0,1,154,0,0,0,0
1,0,0,3334,1,0,0,1
0,0,0,168,0,0,0,0
0,0,14,3904,0,0,0,0
0,0,1,72,0,0,0,0
1,0,0,2757,1,0,0,1
0,0,11,9968,0,0,0,0
1,0,9,3491,1,0,0,1
0,0,0,22,0,0,0,0
0,0,0,22,0,0,0,0
0,0,22,7637,0,0,0,0
0,0,0,143,0,0,0,0
0,0,0,25,0,0,0,0
0,0,0,68,0,0,0,0
0,0,3,341,0,0,0,0
1,0,5,2290,1,0,0,1
1,0,0,2372,0,0,0,0
0,0,0,90,0,0,0,0
0,0,0,1611,0,0,0,0
0,0,0,69,0,0,0,0
0,0,3,875,0,0,0,0
1,1,8,2739,1,0,0,1
0,0,1,45,0,0,0,0
0,0,3,78,0,0,0,0
0,0,0,18,0,0,0,0
0,0,1,154,0,0,0,0
1,0,13,3483,1,0,0,0
0,0,0,83,0,0,0,0
1,0,2,1439,1,0,0,0
0,0,14,1535,0,0,0,0
1,0,76,16768,1,0,0,1
0,0,0,8,0,0,0,0
0,0,1,134,0,0,0,0
0,0,0,3,0,0,0,0
1,0,19,3301,1,0,0,1
0,0,0,2,0,0,0,0
0,0,0,79,0,0,0,0
1,0,3,2334,1,0,0,1
0,0,0,23,0,0,0,0
0,0,0,12,0,0,0,0
0,0,0,143,0,0,0,0
0,0,0,53,0,0,0,0
1,1,22,3909,1,0,0,1
0,0,0,36,0,0,0,0
1,0,7,1747,0,0,1,0
0,0,0,22,0,0,0,0
0,1,31,9952,0,0,0,0
0,0,0,501,0,0,0,0
1,0,4,1508,1,0,0,1
0,0,0,74,0,0,0,0
1,0,0,2252,1,0,0,1
0,0,0,37,0,0,0,0
1,0,4,2094,0,0,0,0
1,0,2,576,1,0,0,1
0,0,0,20,0,0,0,0
1,0,1,203,0,0,0,0
0,0,0,13,0,0,0,0
1,0,0,3084,0,0,0,1
0,0,0,35,0,0,0,0
1,0,7,3371,1,0,0,1
0,0,4,297,0,0,0,0
1,0,0,422,0,0,0,0
0,0,0,3,0,0,0,0
0,0,2,1491,0,0,0,0
0,0,0,56,0,0,0,0
0,0,2,460,0,0,0,0
0,0,1,1964,0,0,0,0
1,0,10,1087,0,0,0,1
1,0,0,2752,0,0,0,0
0,0,0,39,0,0,0,0
0,0,1,200,0,0,0,0
1,0,7,2004,1,0,0,1
0,0,0,123,0,0,0,0
1,0,0,1336,1,0,0,0
0,0,1,451,0,0,0,0
0,0,0,3,0,0,0,0
1,0,11,3252,1,0,0,1
0,0,0,42,0,0,0,0
0,0,0,105,0,0,0,0
1,0,0,1070,0,0,0,0
0,0,2,231,0,0,0,0
0,0,3,968,0,0,0,1
1,0,2,2283,1,0,0,1
0,0,0,60,0,0,0,0
1,0,8,3042,1,0,0,1
1,0,1,1301,0,0,0,1
1,0,4,3264,1,0,0,1
0,0,0,18,0,0,0,0
0,0,0,145,0,0,0,0
1,0,0,1143,1,0,0,0
0,0,0,27,0,0,0,0
1,0,0,2760,1,0,0,1
0,0,0,5,0,0,0,0
0,0,0,60,0,0,0,0
0,0,0,3,0,0,0,0
1,0,8,2477,1,0,0,1
0,0,2,528,0,0,0,0
0,0,0,26,0,0,0,0
0,0,0,22,0,0,0,0
1,0,0,2601,0,0,0,0
1,0,7,2503,1,0,0,1
0,0,1,205,0,0,0,0
0,0,0,36,0,0,0,0
1,0,1,1370,1,0,0,1
0,0,0,58,0,0,0,0
1,0,6,2784,1,0,0,0
1,0,2,3101,1,0,0,1
